Food,Protein_per_100g
Chicken Breast,31
Egg,13
Beef,26
Pork,25
Tuna,29
Salmon,20
Shrimp,24
Tofu,8
Lentils,9
Peanut Butter,25
Milk,3
Greek Yogurt,10
Cottage Cheese,11
Whey Protein,80
Cheese,25
Soy Milk,3
Tempeh,19
Quinoa,4
Oats,13
Almonds,21
Rice,2.7
